timestamp,event_type,token_id,reset_time_utc8
2026-05-01 06:24:18,SESSION-RESET-TRIGGER,TOKEN_1,2026-05-01 14:24:18
2026-05-01 06:24:28,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-01 14:24:28
2026-05-01 21:11:06,SESSION-RESET-TRIGGER,TOKEN_1,2026-05-02 05:11:06
2026-05-01 21:11:17,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-02 05:11:17
2026-05-02 05:45:50,SESSION-RESET-TRIGGER,TOKEN_1,2026-05-02 13:45:50
2026-05-02 05:46:00,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-02 13:46:00
2026-05-02 21:03:57,SESSION-RESET-TRIGGER,TOKEN_1,2026-05-03 05:03:57
2026-05-02 21:04:06,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-03 05:04:06
2026-05-03 06:13:42,SESSION-RESET-TRIGGER,TOKEN_1,2026-05-03 14:13:42
2026-05-03 06:13:52,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-03 14:13:52
2026-05-03 21:06:58,SESSION-RESET-TRIGGER,TOKEN_1,2026-05-04 05:06:58
2026-05-03 21:07:07,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-04 05:07:07
2026-05-04 06:23:44,SESSION-RESET-TRIGGER,TOKEN_1,2026-05-04 14:23:44
2026-05-04 06:23:53,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-04 14:23:53
2026-05-04 21:34:35,SESSION-RESET-TRIGGER,TOKEN_1,2026-05-05 05:34:35
2026-05-04 21:34:44,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-05 05:34:44
2026-05-05 05:59:59,SESSION-RESET-TRIGGER,TOKEN_1,2026-05-05 13:59:59
2026-05-05 06:00:08,SESSION-RESET-TRIGGER,TOKEN_2,2026-05-05 14:00:08
